"GSP","Allocations","Allocation Base","Trading","Taxes/Fees","Tax Base","Rate Structure","Pumping Restrictions","Efficiency Incentives","Status","GSP_ID","Allocation Description","Trading Description","Taxes Description","Restriction Description","Incentive Description"
"Sutter Subbasin Grounwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","M","Approved",112,NA,NA,NA,NA,"""Incentivize the use of irrigation systems capable of using both surface water and groundwater."" (484). An incentive program to encourage adoption of dual source systems can be developed, offsetting the cost of the additional components needed for these systems. Incentivizes may be funded through local district fees, through a jointly funded regional program, or through external programs such as those offered by the Natural Resources Conservation Service (NRCS), which has provided funding in the past to growers who convert from older and less efficient irrigation systems (such as flood systems) to newer, more efficient systems (such as sprinkler systems) (512)."
"Salinas Valley Groundwater Basin Langley Area Subbasin Groudnwater Sustainability Plan","Y","Multiple","N","M","Extraction","Tiered","N","M","Approved",113,"""A hybrid allocation structure based on a per connection basis for small parcels and a per acreage basis for large parcels"" ""Under this allocation structure, extractors with parcels larger than 5 acres receive an allocation based on acreage, and extractors with parcels smaller than 5 acres receive an allocation on a per connection basis, assuming one connection per parcel."" ""If pumping needs to be reduced to meet the sustainable yield, all users would reduce water usage by the same percentage, except for de minimis users"" (279-280)",NA,"Potential for fee structures that allow pumping in excess of allocations pg. 280",NA,"""Possible"" grants for household in-lieu recharge, targetted fallowing"
"Salinas Valley Groundwater Basin Eastside Aquifer Subbasin Groundwater Sustainability Plan","M","Not Specified","N","M","Extraction","Tiered","N","M","Approved",114,"To be determined",NA,"Potential for fee structures that allow pumping in excess of allocations pg.340",NA,"Incentives for fallowing or agricultural land retirement"
"Salinas Valley Groundwater Basin Upper Valley Aquifer Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","M","Approved",115,NA,NA,NA,NA,"Incentives for fallowing or agricultural land retirement"
"Salinas Valley Groundwater Basin Forebay Aquifer Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","M","Approved",116,NA,NA,NA,NA,"Incentives for fallowing or agricultural land retirement"
"Solano Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Review in progress",117,NA,NA,NA,NA,NA
"San Luis Obispo Valley Basin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","M","Approved",118,NA,NA,NA,NA,"Unspecific plans about a potential future management plan to include efficiency improvements and crop conversion"
"Elsinore Valley Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Approved",119,NA,NA,NA,NA,NA
"East Contra Costa Subbasin GSP","M","Historic Pumping","M","M",NA,NA,"M","M","Approved",120,"Little detail, to be implemented only as a backstop",NA,NA,NA,"Incentives for land repurposing, to be implemented only as a backstop"
"San Gorgonio Pass Subbasin Groundwater Sustainability Plan","M",NA,"N","M",NA,NA,"N","M","Approved",121,"p. 268-270 Little detail other than an indication that allocations would likely be made on some sort of per-acre basis; implementing would be difficult because a large share of water consumption in the GSA is by a tribe whos water cannot be determined by allocation; also discussion of potential for adjudication on p. 270",NA,"p. 267-268 Fee details will not be developed until after first five years of GSP implementation",NA,"Long list of potential incentive targets for residential water users, including turf replacement rebates, sprinkler efficiency upgrade subsidies, high efficiency toilet rebates, etc"
"Tracy Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Review in progress",122,NA,NA,NA,NA,NA
"Groundwater Sustainability Plan for the White Wolf Subbasin","M","Acreage","M","M","Extraction","Tiered","M","M","Approved",123,"Allocations based on acreage. The policy would identify and forecast the demands associated with prior rights, domestic and environmental uses. (324)","A banking program that gives credits to those who for example use surface water recharge instead of groundwater. Trading may be executed through short- and long-term leases, permanent transfers, inter-annual water exchanges, or dry-year option contracts. A pumping allocation methodology may also be developed, including a market system for trading and/or transferring of allocations between water users. (325)","The potential fee structures would affect groundwater users differently. (325)",NA,"May subsidize crop switching, rotational fallowing, or permanent fallowing (324)"
"Napa Valley Subbasin Groundwater Sustainability Plan","N",NA,"N","M",NA,NA,"Y","M","Approved",124,NA,NA,NA,NA,"Potential incentives for precision irrigation at vineyards"
"Sierra Valley Subbasin Groundwater Sustainability Plan","M","Other","M","N",NA,NA,"Y","M","Approved",125,"""Normally, allocations would not be required for typical residential water uses below a threshold, such as 2 acre-feet (~650,000 gallons) per year. Allocations can be initially assigned to users based on Historic water uses and irrigated acres, along with considerations for supplemental surface water or treated effluent water sources. Shares are managed on an annual use audit, and duties may be fixed or variable depending on the water 
year and anticipated irrigation water requirements for the growing season."" (278)","Not specified",NA,NA,"Increased irrigation efficiency through equipment improvements and low-water crop types. (268-269) Additionally, the PMA may provide incentives and rebates for water-efficient appliances, utility improvements, leak detection, and improved metering (277)."
"Big Valley Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Approved",127,NA,NA,NA,NA,NA
"Salinas Valley Groundwater Basin Monterey Subbasin Groundwater Sustainability Plan","Y","Acreage","N","M","Extraction","Tiered","N","M","Approved",128,"Applies to the Corral de Tierra Area only. A per connection allocation for small parcels (5 acres or less) and a per acreage allocation for large parcels (more than 5 acres). There is an assumed one connection per parcel. Allocation for municipal water systems would be on a per connection basis. De minimis extraction would be exempt from allocations. (487)",NA,"""For example, a fee structure could be defined such that each extractor has a pumping allowance based on their allocation, and a penalty or disincentive fee is charged for extraction over that amount."" (487)",NA,"Encourage home rainwater capture and graywater reuse - currently plans are solely educational/outreach but there is an uncommitted statement that financial incentives could become part of the plan (505)"
"Groundwater Sustainability Plan for the Santa Monica Groundwater Subbasin","M",NA,"N","M",NA,NA,"N","Y","Approved",129,"""In the event that groundwater production rates approximately equal or exceed the estimated sustainable yield of the Subbasin, the City of Santa Monica and SMBGSA may develop a groundwater allocation in the Subbasin. Any groundwater allocation would be developed in conjunction with the stakeholders in the Subbasin and is anticipated to incorporate Historic groundwater production from existing stakeholders and the City of Santa Monica."" (370)",NA,"""In the event that groundwater conditions within the Subbasin warrant additional management by the SMBGSA, the GSA may impose a replenishment fee, or a water purchase / pumping offset fee for groundwater users in the Subbasin. In the case of the replenishment fee, the fees would be used to develop and support projects that would increase recharge, and therefore increase the sustainable yield in the Subbasin"" (365)",NA,"Flow measuring and irrigation controller device incentives, rebate incentive programs for fixtures.""New incentives and programs the City will implement to further reduce water use in the Subbasin moving forward include a partnership with the Discovery Science Center of Los Angeles to educate students and their families on water use efficiency and conservation, replacement of multi-family common area laundry machines with more efficient apparatus, and installation of City approved greywater systems at private residences and businesses to provide a cost-effective alternative water supply for irrigation and other non-potable uses."" (371)"
"Groundwater Sustainability Plan for the Ojai Valley Groundwater Basin","M","Historic Pumping","N","M","Extraction",NA,"N","N","Approved",130,"Historic groundwater extraction as base for allocations, may include fees and other penalties for violations. Allocations will only be established in the event that groundwater extraction rates regularly exceed sustainable yield.",NA,"""These costs are expected to be funded using a combination of groundwater extraction charges, including quarterly fixed charges and variable pumping fees"" (311)",NA,NA
"Santa Clara River Valley East Groundwater Subbasin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"M","Y","Review in progress",131,NA,NA,NA,NA,"For example, ""rebates and incentives for turf conversion, smart irrigation controllers, irrigation distribution system efficiency upgrades, home and business check-ups, rebates for plumbing fixture upgrades and water efficiency kits."""
"Groundwater Sustainability Plan Petaluma Valley Groundwater Basin","N",NA,"N","N",NA,NA,"M","Y","Approved",132,NA,NA,NA,NA,"""The water-use efficiency and alternate include smaller-scale dispersed land-owner projects, such as turf removal, rainwater harvesting, and stormwater capture and reuse. These projects are initially planned as voluntary, incentive-based projects focused on groundwater users, primarily rural, residential, agricultural, and commercial/industrial groundwater users"" (310) existing tools and BMPs in existing programs like LandSmart Program and Sustainable Winegrowing Program include: ""conservation rebate programs for high-efficiency appliances and fixtures, landscape water budgets, landscape and irrigation design and irrigation scheduling"""
"Atascadero Basin Groundwater Sustainability Plan","N",NA,"N","N",NA,NA,"N","N","Review in progress",133,NA,NA,NA,NA,NA
"Antelope Subbasin Groundwater Sustainability Plan","M","Extraction","M","M","Extraction","Tiered","M","M","Incomplete",134,"No detail, proposed only ""as a backstop to other potential PMAs if those are insufficient to maintain sustainability over the GSP planning and implementation horizon""","The management action would provide flexibility to water users to manage the use of groundwater within the sustainable yield of the Subbasin. This management action may be implemented and would be monitored and quantified with respect to groundwater conditions, as needed, if sustainable levels are not reached following implementation of other PMAs","No detail, proposed only ""as a backstop to other potential PMAs if those are insufficient to maintain sustainability over the GSP planning and implementation horizon""",NA,"Incentives for agricultural pumpers to assist with infrastructure upgrades necessary to dual source water,Incentives for urban, residential, and commercial projects that improve water use efficiency, including rebates for high efficiency appliances and incentives for lawn removal, low-water landscape installation, rain barrels, graywater reuse, or other activities that offset groundwater demand"
"Groundwater Sustainability Plan Santa Rosa Plain Groundwater Subbasin","N",NA,"N","N",NA,NA,"N","M","Approved",136,NA,NA,NA,NA,"""Voluntary, incentive-based water-use efficiency and alternate water source projects focused on non-municipal groundwater users"" (385)"
"Bowman Subbasin Groundwater Sustainability Plan","M",NA,"N","M","Extraction","Tiered","M","M","Review in progress",137,"p. 348 not specified",NA,"Tax base is extraction, rate structure is tiered. Otherwise unspecified. (p 348)",NA,"Offer incentives for urban, residential, and commercial projects that improve water use efficiency, such as high efficiency appliance rebates and incentives for lawn removal, low-water landscape installation, rain barrels, graywater reuse, etc."
"Bear Valley Basin Groundwater Sustainability Plan","N",NA,"N","Y","Extraction","Tiered","N","Y","Review in progress",138,NA,NA,"""Tiered water rates where the cost per unit of water increases as the total volume 
of water used increase has been shown to encourage conservation"" (151)",NA,"Rebates"
"Los Molinos Subbasin Groundwater Sustainability Plan","M","Extraction","M","M","Extraction","Tiered","M","M","Incomplete",139,"Described as a ""groundwater extraction allocation"" concept to be implemented only if other management actions fail to achieve sustainability","Vague proposal for a market that would include both surface and groundwater","No detail offered beyond that it would be a tiered extraction fee implemented only if other plans fail to achieve sustainability",NA,"""Incentivize use of surface water for irrigation when available to allow groundwater levels to recover in between drought years when surface water is not available."" ""Provide incentives for use of recycled water of suitable quality (e.g., treated wastewater) for groundwater recharge and for urban or agricultural irrigation to decrease groundwater demand"" (351)."
"Red Bluff Subbasin Groundwater Sustainability Plan","M","Extraction","M","M","Extraction","Tiered","M","M","Incomplete",140,"Described as a ""groundwater extraction allocation"" concept to be implemented only if other management actions fail to achieve sustainability p. 356","Vague proposal for a market that would include both surface and groundwater p. 357","No detail offered beyond that it would be a tiered extraction fee implemented only if other plans fail to achieve sustainability p. 356",NA,"Potential incentives for ""efficient and dual-use irrigation systems""; Incentivize expanded use of CVP supply by irrigators in Proberta WD and Thomes Creek WD, with the goal of using the full supply available to each district on the Corning Canal. Encouraging irrigators to use more surface water would offset groundwater demand, providing in-lieu recharge benefits to Subbasin. (352) This education program could be coupled with an incentive program to encourage additional use of surface water in-lieu of pumping groundwater. This would be particularly effective in instances where groundwater is, from the perspective of the grower, effectively cheaper than surface water. (373)"
"Riverside-Arlington GSP","N",NA,"N","N",NA,NA,"M","Y","Review in progress",144,NA,NA,NA,NA,"Rebates"
"San Joaquin Pleasant Valley GSP","M","Not Specified","M","M","Extraction","Tiered","M","M","Review in progress",145,"Listed solely as ""establishment of pumping limits by year"" with a note that fees could be charged for exceedances and trading will be considered","Mostly undiscussed, listed as ""water transfers"" and ""gounrdwater transfers outside of basin""","""The GSA may adopt a policy to levy tiered fees for pumping beyond the current groundwater pumping limits.""",NA,"Incentives for permanent fallowing"
"San Gabriel Valley GSP","Y",NA,"Y","Y","Extraction","Tiered","N","N","Review in progress",149,"One-year carryover of unused rights","Transfer of Allowed Pumping Allocation and stored water between Parties through sales and leases",NA,NA,NA
"South of Kern River GSP","N",NA,"N","N",NA,NA,"N","N","Inadequate",150,NA,NA,NA,NA,NA
"Montecito Groundwater Basin Groundwater Sustainability Plan","M","Not Specified","N","N",NA,NA,"N","N","Review in progress",155,"An allocation policy will be developed on if other projects are later ""determined insufficient to maintain sustainability""",NA,NA,NA,NA
"Arroyo Santa Rosa Valley Groundwater Basin Groundwater Sustainability Plan","N",NA,"N","Y","Extraction",NA,"N","N","Review in progress",156,NA,NA,"Applies to FCGMA only, which is funding its GSP activities via an extraction fee",NA,NA
